chapter	chapter_title	unit	title	path	physical_pdf_pages	printed_pages	coverage	figures_tables_footnotes	status	uncertainties
10	Gravitational Radiation	10.2	Plane Waves	latex/chapters/chapter10/sec102.tex	277--280	pp. 255--258	Section 10.2, Plane Waves; equations (10.2.1)--(10.2.17).	none.	source-reviewed and compile-clean.	"Physical source p. 280 (printed p. 258) is severely washed out. Its text was recovered from a legible scan of the same edition and checked against the visible fragments and surrounding pages. MODERNIZATION: The wave vector is written in time-first order, gauge displacement is xi with constant parameter zeta, and the source's electromagnetism gauge attribution is corrected to ""Lorenz gauge."""
10	Gravitational Radiation	10.3	Energy and Momentum of Plane Waves	latex/chapters/chapter10/sec103.tex	281--282	pp. 259--260	Section 10.3, Energy and Momentum of Plane Waves; equations (10.3.1)--(10.3.7).	none.	source-reviewed and compile-clean.	none. MODERNIZATION: R^(N) is the target-convention curvature and hence the negative of Weinberg's R^(N). The signs in (10.3.1), (10.3.2), and (10.3.4) have been converted together, leaving the positive physical energy-momentum formulas (10.3.5)--(10.3.7) unchanged.
10	Gravitational Radiation	10.4	Generation of Gravitational Waves	latex/chapters/chapter10/sec104.tex	282--288	pp. 260--266	Section 10.4, Generation of Gravitational Waves; equations (10.4.1)--(10.4.32).	none.	source-reviewed and compile-clean.	none.
10	Gravitational Radiation	10.5	Quadrupole Radiation	latex/chapters/chapter10/sec105.tex	289--295	pp. 267--273	Section 10.5, Quadrupole Radiation; equations (10.5.1)--(10.5.25).	reference markers 1--4; no figures or tables.	source-reviewed and compile-clean.	Printed p. 272 says Eq. (10.5.23) gives the point-mass radiated power, but (10.5.23) merely defines I; the intended reference is evidently Eq. (10.5.22), used below and recorded as a source anomaly.
10	Gravitational Radiation	10.6	Scattering and Absorption of Gravitational Radiation	latex/chapters/chapter10/sec106.tex	296--298	pp. 274--276	Section 10.6, Scattering and Absorption of Gravitational Radiation; equations (10.6.1)--(10.6.15).	reference markers 5--11; no figures or tables.	source-reviewed and compile-clean.	none.
10	Gravitational Radiation	10.7	Detection of Gravitational Radiation	latex/chapters/chapter10/sec107.tex	298--307	pp. 276--285	Section 10.7, Detection of Gravitational Radiation; equations (10.7.1)--(10.7.19), including the unnumbered resonance formulas.	Figure 10.1; reference markers 1, 3, 12--22.	source-reviewed and compile-clean.	none.
10	Gravitational Radiation	10.8	Quantum Theory of Gravitation	latex/chapters/chapter10/sec108.tex	307--313	pp. 285--289	Section 10.8, Quantum Theory of Gravitation; equations (10.8.1)--(10.8.16), including unnumbered transition, absorption, field, and gauge-transformation formulas.	one optional-reading footnote; reference markers 23--34; no figures or tables.	source-reviewed and compile-clean.	none. Source anomaly: physical PDF pp. 312--313 duplicate printed pp. 288--289 already present as physical pp. 310--311; no text is lost. Source anomaly: after Eq. (10.8.16), the source calls h_{\mu\nu} ``the operator (10.8.15)''; the intended field operator is Eq. (10.8.14), used here. Modernization: the infinitesimal gauge displacement in the unnumbered post-Lorentz-transformation formula is written \xi_\mu.
10	Gravitational Radiation	10.9	Gravitational Disturbances in Gravitational Fields	latex/chapters/chapter10/sec109.tex	314--316	pp. 290--292	Section 10.9, Gravitational Disturbances in Gravitational Fields; equations (10.9.1)--(10.9.10), including the unnumbered coordinate, Lie-derivative, and perfect-fluid formulas.	one optional-reading footnote; no references, figures, or tables.	source-reviewed and compile-clean.	none. Modernization: the source operator \Delta_\epsilon is written \mathcal L_\xi throughout, with \xi^\mu the gauge vector. Curvature conversion: Eqs. (10.9.2)--(10.9.4) are sign-converted from the source Ricci convention to the binding target convention; Eq. (10.9.4) consequently has +8\pi G.
10	Gravitational Radiation	backmatter	Chapter 10 back matter	latex/chapters/chapter10/backmatter.tex	317--319	pp. 293--295	Chapter 10 bibliography and references 1--34.	none.	source-reviewed and compile-clean.	none.
11	Stellar Equilibrium and Collapse	opening	Chapter 11 opening	latex/chapters/chapter11/introduction.tex	320--322	pp. 297--299	Chapter 11 opening material before Section 11.1.	chapter epigraph; Figure 11.1; no tables or footnotes.	source-reviewed and compile-clean.	none.
11	Stellar Equilibrium and Collapse	11.1	Differential Equations for Stellar Structure	latex/chapters/chapter11/sec111.tex	322--327	pp. 299--304	Section 11.1, Differential Equations for Stellar Structure; equations (11.1.1)--(11.1.31).	none.	source-reviewed and compile-clean.	SOURCE ERRATA -- (11.1.19) uses the four-dimensional determinant, and the prose prints A Delta s/T; corrected.
11	Stellar Equilibrium and Collapse	11.2	Stability	latex/chapters/chapter11/sec112.tex	327--330	pp. 304--308	Section 11.2, Stability; Theorems 1 and 2 and their unnumbered displayed equations.	no figures or tables; reference callouts 1--3.	source-reviewed and compile-clean.	none. The omitted local page is documented above.
11	Stellar Equilibrium and Collapse	11.3	Newtonian Stars: Polytropes and White Dwarfs	latex/chapters/chapter11/sec113.tex	330--339	pp. 308--317	Section 11.3, Newtonian Stars: Polytropes and White Dwarfs; equations (11.3.1)--(11.3.52).	Table 11.1; reference callouts 4--9.	source-reviewed and compile-clean.	none.
11	Stellar Equilibrium and Collapse	11.4	Neutron Stars	latex/chapters/chapter11/sec114.tex	339--347	pp. 317--325	Section 11.4, Neutron Stars; equations (11.4.1)--(11.4.29).	Figure 11.2; reference callouts 8, 10--22.	source-reviewed and compile-clean.	none.
11	Stellar Equilibrium and Collapse	11.5	Supermassive Stars	latex/chapters/chapter11/sec115.tex	347--352	pp. 325--330	Section 11.5, Supermassive Stars; equations (11.5.1)--(11.5.18).	no figures or tables; reference callouts 23--24.	source-reviewed and compile-clean.	none.
11	Stellar Equilibrium and Collapse	11.6	Stars of Uniform Density	latex/chapters/chapter11/sec116.tex	352--357	pp. 330--335	Section 11.6, Stars of Uniform Density; equations (11.6.1)--(11.6.20).	no figures or tables; reference callouts 25--29.	source-reviewed and compile-clean.	the curvature-sign conversion is documented at Eqs. (11.6.12)--(11.6.13); none unresolved.
11	Stellar Equilibrium and Collapse	11.7	Time-Dependent Spherically Symmetric Fields	latex/chapters/chapter11/sec117.tex	357--360	pp. 335--338	Section 11.7, Time-Dependent Spherically Symmetric Fields; equations (11.7.1)--(11.7.9).	no figures or tables; reference callout 30.	source-reviewed and compile-clean.	the curvature-sign conversion is documented at Eqs. (11.7.4)--(11.7.7); none unresolved.
11	Stellar Equilibrium and Collapse	11.8	Comoving Coordinates	latex/chapters/chapter11/sec118.tex	360--363	pp. 338--341	Section 11.8, Comoving Coordinates; equations (11.8.1)--(11.8.19).	no figures or tables; reference callout 31.	source-reviewed and compile-clean.	the factor-of-two source anomaly following case (B) is documented at the correction below; the curvature conversion is documented at Eqs. (11.8.14)--(11.8.17).
11	Stellar Equilibrium and Collapse	11.9	Gravitational Collapse	latex/chapters/chapter11/sec119.tex	364--371	pp. 342--349	Section 11.9, Gravitational Collapse; equations (11.9.1)--(11.9.46).	no figures or tables; reference callouts 32--39.	source-reviewed and compile-clean.	the curvature-sign conversion is documented at Eqs. (11.9.9)--(11.9.12); none unresolved.
11	Stellar Equilibrium and Collapse	backmatter	Chapter 11 back matter	latex/chapters/chapter11/backmatter.tex	372--376	pp. 350--354	Chapter 11 bibliography and references 1--39.	none.	source-reviewed and compile-clean.	none.
12	The Action Principle	opening	Chapter 12 opening	latex/chapters/chapter12/introduction.tex	378--379	pp. 357--358	Chapter 12 epigraph and opening overview before Section 12.1.	chapter epigraph; no figures, tables, or footnotes.	source-reviewed and compile-clean.	none.
12	The Action Principle	12.1	The Matter Action: An Example	latex/chapters/chapter12/sec121.tex	379--381	pp. 358--360	Section 12.1, The Matter Action: An Example; equations (12.1.1)--(12.1.6).	none.	source-reviewed and compile-clean.	time-first determinant factors, D/Dtau in (12.1.1), and normalized antisymmetrization in (12.1.4) are documented below and source-checked. MODERNIZATION CHECK: The source lists its three spatial coordinates before time; here all spacetime indices are time-first and the invariant measure is sqrt(-g). Weinberg's I_M notation and the charge-coupling sign are retained. Equation (12.1.1) uses the requested D/Dtau notation while displaying its expanded connection form once. Equation (12.1.4) uses normalized antisymmetrization. LITERAL-OPERATOR AUDIT: every leading + or - in the three unnumbered multiline variations was checked against physical PDF pp. 380--381.
12	The Action Principle	12.2	General Definition of \(T^{\mu\nu}\)	latex/chapters/chapter12/sec122.tex	381--382	pp. 360--361	Section 12.2, General Definition of T^{mu nu}; equations (12.2.1)--(12.2.6).	none.	source-reviewed and compile-clean.	determinant factors and the inverse-metric Hilbert definition of T are documented below and source-checked. MODERNIZATION CHECK: sqrt(g) is converted to sqrt(-g), and the definition of T is also stated in the binding inverse-metric form. The signs in the particle and electromagnetic contributions were checked directly against the variation of (12.1.6). LITERAL-OPERATOR AUDIT: the leading plus between the particle and field pieces of the unnumbered delta I_M display, and the minus 1/4 trace term, were checked against physical PDF p. 381.
12	The Action Principle	12.3	General Covariance and Energy-Momentum Conservation	latex/chapters/chapter12/sec123.tex	382--384	pp. 361--363	Section 12.3, General Covariance and Energy-Momentum Conservation; equations (12.3.1)--(12.3.2).	none.	source-reviewed and compile-clean.	coordinate displacements, Lie derivatives, and compact conservation laws are documented below and source-checked. MODERNIZATION CHECK: Weinberg's coordinate displacement epsilon^mu is xi^mu here, and the field changes in (12.3.1) are identified explicitly as minus Lie derivatives. Comma derivatives in (12.3.2) and in the current conservation law are replaced by nabla. LITERAL-OPERATOR AUDIT: the minus sign in front of the metric variation, the minus metric-derivative term after integration by parts, and the minus sign in the integrated gauge variation were checked against pp. 383--384.
12	The Action Principle	12.4	The Gravitational Action	latex/chapters/chapter12/sec124.tex	385--386	pp. 364--365	Section 12.4, The Gravitational Action; equations (12.4.1)--(12.4.3).	none.	source-reviewed and compile-clean.	the curvature/action sign conversion in (12.4.2)--(12.4.3) is documented below and checked against Einstein's equation. MODERNIZATION CHECK: At fixed slots the target Riemann, Ricci, scalar, and Einstein tensors are the negatives of Weinberg's. Consequently the source minus sign in (12.4.2) becomes a plus, while its covariant-metric variation (12.4.3) becomes a minus. The resulting equation is G^{mu nu}=8 pi G T^{mu nu}, as required by the binding convention. LITERAL-OPERATOR AUDIT: both terms in the Palatini divergence, the minus sign in (12.4.3), and the matter term in the final field equation were checked independently against physical PDF p. 385 after conversion.
12	The Action Principle	12.5	The Tetrad Formalism	latex/chapters/chapter12/sec125.tex	386--394	pp. 365--373	Section 12.5, The Tetrad Formalism; equations (12.5.1)--(12.5.36).	one optional-reading footnote; reference marker 1; no figures or tables.	source-reviewed and compile-clean.	tetrad notation and the source's inverse-tetrad/co-tetrad variation-sign mismatch are documented below; the co-tetrad formulation is checked against the Hilbert stress tensor. MODERNIZATION CHECK: Weinberg's V^alpha_mu is e^a_mu, its inverse is e_a^mu, local-frame indices are Latin, and his starred local components are written directly with Latin indices. Partial/covariant derivatives are compact, and coordinate displacements are xi. SOURCE ANOMALY / MODERNIZATION CHOICE: In (12.5.26) the source varies the inverse tetrad V_alpha^mu, but (12.5.27) assigns U the sign appropriate to a variation of the co-tetrad. Taken literally, those signs conflict with the metric variation printed before (12.5.35). Equations (12.5.26)--(12.5.35) below consistently use the co-tetrad e^a_mu as the varied field. This keeps Weinberg's positive definition (12.5.27), the binding Hilbert definition T_mn=-2/sqrt(-g) delta I_M/delta g^mn, and (12.5.36) mutually consistent.
12	The Action Principle	backmatter	Chapter 12 back matter	latex/chapters/chapter12/backmatter.tex	394	p. 373	Chapter 12 references.	one numbered reference; no figures, tables, or footnotes.	source-reviewed and compile-clean.	none.
13	Symmetric Spaces	opening	Chapter 13 opening	latex/chapters/chapter13/introduction.tex	395	p. 375	Chapter 13 opening material before Section 13.1.	chapter epigraph; no figures, tables, or footnotes.	source-reviewed and compile-clean.	none.
13	Symmetric Spaces	13.1	Killing Vectors	latex/chapters/chapter13/sec131.tex	395--401	pp. 375--381	Section 13.1, Killing Vectors; equations (13.1.1)--(13.1.12), including all intervening unnumbered displays.	no figures, tables, or footnotes; reference 1.	source-reviewed and compile-clean.	none. MODERNIZATION: Coordinate derivatives are compact, comma/semicolon derivatives are explicit partial/covariant derivatives, and xi denotes the infinitesimal displacement/Killing field. Curvature terms in (13.1.6), (13.1.9), and the rank-two commutator following the flat-space example have been converted to the target curvature sign convention. LITERAL-OPERATOR AUDIT: all continuation operators in (13.1.4), (13.1.8), (13.1.12), and the unnumbered rank-two commutator were checked against the source; the two continuation plus signs in (13.1.4) are explicit.
13	Symmetric Spaces	13.2	Maximally Symmetric Spaces: Uniqueness	latex/chapters/chapter13/sec132.tex	401--407	pp. 381--385	Section 13.2, Maximally Symmetric Spaces: Uniqueness; equations (13.2.1)--(13.2.20), including all unnumbered displays.	none.	source-reviewed and compile-clean.	none. MODERNIZATION: R denotes the curvature scalar. The curvature sign is the target sign, so K is the usual sectional-curvature constant: R=N(N-1)K, R_{\mu\nu}=(N-1)K g_{\mu\nu}, and the constant-curvature Riemann tensor has the target sign. Repeated coordinate derivatives are compact except where the Jacobian structure is pedagogically essential. LITERAL-OPERATOR AUDIT: every continuation operator in the curvature contractions and the power-series uniqueness proof was checked against the source; the contracted Bianchi identity retains its full tensor structure.
13	Symmetric Spaces	13.3	Maximally Symmetric Spaces: Construction	latex/chapters/chapter13/sec133.tex	407 and 410--414	pp. 385--389 and 391	Section 13.3, Maximally Symmetric Spaces: Construction; equations (13.3.1)--(13.3.43), including all unnumbered displays.	Figure 13.1; reference 2.	source-reviewed and compile-clean.	printed p. 389 cites Eq. (13.2.21), which does not exist; the affine-connection calculation plainly uses Eq. (13.3.21), and the in-text cross-reference is corrected accordingly. MODERNIZATION: Line elements use ds^2 and the (-+++) signature. The space-time formulas (13.3.39), (13.3.41), and (13.3.43) have consequently been rewritten with a negative time term. The two curvature displays after (13.3.22) use the target curvature sign convention. Coordinate derivatives are compact, while pedagogically useful Jacobians remain explicit. LITERAL-OPERATOR AUDIT: every multiline display was checked against the source; the continuation plus signs in (13.3.3), (13.3.4), (13.3.17), and (13.3.23) are explicit.
13	Symmetric Spaces	13.4	Tensors in a Maximally Symmetric Space	latex/chapters/chapter13/sec134.tex	415--417	pp. 392--395	Section 13.4, Tensors in a Maximally Symmetric Space; equations (13.4.1)--(13.4.11), including all unnumbered displays.	none.	source-reviewed and compile-clean.	none. MODERNIZATION: The infinitesimal displacement is xi, coordinate derivatives are compact, and the arbitrary antisymmetric matrix at X is written as nabla_mu xi_sigma rather than the source's semicolon notation. LITERAL-OPERATOR AUDIT: all terms and continuation operators in the Lie derivative and tensor-classification displays were checked against the source.
13	Symmetric Spaces	13.5	Spaces with Maximally Symmetric Subspaces	latex/chapters/chapter13/sec135.tex	417--426	pp. 395--404	Section 13.5, Spaces with Maximally Symmetric Subspaces; equations (13.5.1)--(13.5.32), all intervening unnumbered displays, and Table 13.1.	Table 13.1; no figures or footnotes.	source-reviewed and compile-clean.	printed p. 400 says “multiplying (13.4.19),” but the displayed equation immediately used is (13.5.19); the in-text cross-reference is corrected accordingly. MODERNIZATION: Line elements use ds^2. The final cosmological metric (13.5.32) uses (-+++), and coordinate derivatives are written compactly. The bar on \bar g^{ij} is retained where it distinguishes the inverse of the submatrix g_{ij} from the ij block of the inverse full metric. LITERAL-OPERATOR AUDIT: all continuation operators in the coordinate-change, integrability, Killing-vector, and metric displays were checked against the source, including every term in (13.5.19).
13	Symmetric Spaces	backmatter	Chapter 13 back matter	latex/chapters/chapter13/backmatter.tex	426	p. 404	Chapter 13 bibliography and references 1--2.	none.	source-reviewed and compile-clean.	none.
14	Cosmography	opening	Chapter 14 opening	latex/chapters/chapter14/introduction.tex	428--430	pp. 407--409	Chapter 14 epigraph and opening overview before Section 14.1.	epigraph; linked reference markers 1--9; no figures, tables, or footnotes.	source-reviewed and compile-clean; visually proofed.	none.
14	Cosmography	14.1	The Cosmological Principle	latex/chapters/chapter14/sec141.tex	430--433	pp. 409--412	Section 14.1, The Cosmological Principle; equations (14.1.1)--(14.1.12).	no figures, tables, footnotes, or reference markers.	source-reviewed and compile-clean; visually proofed.	the source's time-last component notation is converted to the binding time-first convention below. MODERNIZATION CHECK: spacetime components are ordered time first; spatial indices i,j remain Latin and every Killing vector has vanishing 0-component. LITERAL-OPERATOR AUDIT: the plus sign joining the two sums in (14.1.8) and the minus sign in (14.1.10) were checked against physical PDF p. 432.
14	Cosmography	14.2	The Robertson-Walker Metric	latex/chapters/chapter14/sec142.tex	433--436	pp. 412--415	Section 14.2, The Robertson--Walker Metric; equations (14.2.1)--(14.2.21).	one source footnote following (14.2.21); no figures, tables, or reference markers.	source-reviewed and compile-clean; visually proofed.	the scale-factor, quasitranslation-vector, rotation-matrix, signature, determinant, and continuity-equation modernizations are documented below. MODERNIZATION CHECK: R_source(t) -> a(t) everywhere. The source's arbitrary quasitranslation vector a_source -> bold b in (14.2.7), avoiding a collision with the scale factor. Its rotation matrix R -> O, reserving R for curvature. Equation (14.2.1) is written as ds^2 in (-+++), and (14.2.16) as -g>0. Equation (14.2.19) displays both Weinberg's form and the equivalent modern continuity equation, defining H=dot a/a for later use. LITERAL-OPERATOR AUDIT: the plus signs in (14.2.7), (14.2.12), and every continuation line of (14.2.18), together with the minus sign in 1-kr^2, were checked directly against physical PDF pp. 434--436.
14	Cosmography	14.3	The Red Shift	latex/chapters/chapter14/sec143.tex	436--438	pp. 415--417	Section 14.3, The Red Shift; equations (14.3.1)--(14.3.8), including the final two paragraphs restored from printed p. 418.	linked reference markers 10--13; no figures, tables, or footnotes.	source-reviewed and compile-clean; visually proofed.	the null-line-element, scale-factor, Hubble-parameter, and Doppler-spelling modernizations are documented below. MODERNIZATION CHECK: R_source(t) -> a(t), the null line element uses ds^2 with (-+++), and (14.3.8) uses H(t)=dot a/a already defined in (14.2.19). The source's archaic “Döppler” spelling is regularized to “Doppler.” RESTORED SOURCE: source-supplements/printed-p418.png supplies the end of this section after physical p. 438; it was checked at full resolution. LITERAL-OPERATOR AUDIT: the subtraction in (14.3.5), the -1 in (14.3.6), and all successive approximate equalities in (14.3.8) were source-checked.
14	Cosmography	14.4	Measures of Distance	latex/chapters/chapter14/sec144.tex	439--449	pp. 419--427	Section 14.4, Measures of Distance; equations (14.4.1)--(14.4.45), all intervening unnumbered displays, and the concluding photometric conventions before Section 14.5.	Figures 14.1--14.2; linked reference markers 14--16; no tables or footnotes.	source-reviewed and compile-clean; visually proofed.	the restored leaf, repeated leaves, scale-factor, light-path parameter, parallax, Boltzmann-constant, and source wording modernizations are documented below. RESTORED SOURCE: source-supplements/printed-p418.png supplies the beginning of this section before physical p. 439; it was checked at full resolution. MODERNIZATION CHECK: R_source(t) -> a(t). The source path parameter rho is renamed sigma to avoid collision with the cosmic density rho; its small parallax angle theta is written vartheta to avoid collision with the polar coordinate; trigonometric parallax pi is written varpi; and Boltzmann's constant is k_B, reserving k for spatial curvature. VERIFY SOURCE: after (14.4.37) the scan calls l a bolometric apparent “magnitude,” but (14.4.12) defines it as luminosity. The prose below uses “luminosity” and records the printed slip here rather than silently hiding it.
14	Cosmography	14.5	The Cosmic Distance Ladder	latex/chapters/chapter14/sec145.tex	449--463	pp. 427--439	Section 14.5, The Cosmic Distance Ladder; all unnumbered displays and the complete text through the summary of the ladder.	Figures 14.3--14.10; linked reference markers 17--38; no tables or footnotes.	source-reviewed and compile-clean; visually proofed.	the parallax-symbol and unit-format modernizations are documented below; no unresolved source uncertainty remains. RESTORED SOURCE: source-supplements/printed-p440.png supplies the final printed page of this section after the repeated physical leaves and was checked at full resolution. MODERNIZATION CHECK: trigonometric parallax is written \varpi, consistently with Section 14.4, rather than the source's collision-prone \pi. Units use upright roman type. Historical values and terminology are retained.
14	Cosmography	14.6	The Red-Shift Versus Distance Relation	latex/chapters/chapter14/sec146.tex	464--474	pp. 441--451	Section 14.6, The Red-Shift Versus Distance Relation; equations (14.6.1)--(14.6.24) and all intervening unnumbered displays.	Figures 14.11--14.12; linked reference markers 13, 27, 34, 39--61, and 68; no tables or footnotes.	source-reviewed and compile-clean; visually proofed.	the scale-factor, derivative, logarithm, unit, and spelling modernizations are documented below; no unresolved source uncertainty remains. MODERNIZATION CHECK: the printed scale-factor symbol and its present-value form are written as a(t) and a_0, with all derivatives shown by dots. The printed obsolete spelling of ``deceleration'' is regularized. Its typographical ln_10 means log base ten and is written \log_{10}. Units are upright and use inverse-power notation. LITERAL-OPERATOR AUDIT: the signs in (14.6.1), (14.6.4)--(14.6.10), (14.6.12), (14.6.20)--(14.6.24), and both curvature square roots were checked directly against physical pp. 464--474.
14	Cosmography	14.7	Number Counts	latex/chapters/chapter14/sec147.tex	474--481	pp. 451--458	Section 14.7, Number Counts; equations (14.7.1)--(14.7.36), all intervening unnumbered displays, and Table 14.1.	Table 14.1 and its source note; linked reference markers 62--64 and 69; no figures or footnotes.	source-reviewed and compile-clean; visually proofed.	the scale-factor, proper-volume, derivative, and unit modernizations are documented below; no unresolved source uncertainty remains. MODERNIZATION CHECK: the printed scale-factor symbol is written a(t); the positive spatial-volume determinant is denoted gamma rather than by the full spacetime determinant; partial derivatives use compact notation; and units are upright with inverse powers. LITERAL-OPERATOR AUDIT: every exponent and sign in (14.7.10)--(14.7.17), (14.7.20)--(14.7.31), and (14.7.33)--(14.7.36) was checked directly against physical pp. 476--480.
14	Cosmography	14.8	The Steady State Cosmology	latex/chapters/chapter14/sec148.tex	482--487	pp. 459--464	Section 14.8, The Steady State Cosmology; equations (14.8.1)--(14.8.23), all intervening unnumbered displays, and the concluding paragraph before the chapter bibliography.	linked reference markers 57, 63, and 65--67; no figures, tables, or footnotes.	source-reviewed and compile-clean; visually proofed.	the signature, scale-factor, time-index, divergence, unit, spelling, and corrected cumulative-count notation are documented below; no unresolved source uncertainty remains. MODERNIZATION CHECK: the printed scale-factor symbol is written a(t); time is index 0; the metric (14.8.5) is converted to (-+++); covariant divergences are explicit; the obsolete spelling of ``deceleration'' is regularized; and units are upright with inverse powers. VERIFY SOURCE: physical p. 485 says that an observed value of N(>z) is smaller than the prediction (14.8.17), but both the definition and the logic require N(<z). The evident inequality slip is corrected in prose. LITERAL-OPERATOR AUDIT: the minus signs in (14.8.2), (14.8.3), (14.8.16), and (14.8.20)--(14.8.23), and the nested roots in (14.8.14) and (14.8.18), were checked directly against the source.
14	Cosmography	backmatter	Chapter 14 back matter	latex/chapters/chapter14/backmatter.tex	487--492	pp. 464--468	Chapter 14 bibliography and references 1--69.	none.	source-reviewed and compile-clean; visually proofed.	SOURCE ERRATUM -- reference 13's printed year conflicts with both the text and cited volume; it is corrected below. SOURCE ERRATUM: reference 13 prints 1927, although Section 14.6 calls this Hubble's 1929 discovery and volume 15 of the Proceedings is from 1929. The reference below uses 1929.
15	Cosmology: The Standard Model	opening	Chapter 15 opening	latex/chapters/chapter15/introduction.tex	493--494	pp. 469--470; p. 494 only through the text preceding Section 15.1	Chapter 15 opening material before Section 15.1.	chapter epigraph; no figures, tables, or footnotes.	source-reviewed and compile-clean.	none.
15	Cosmology: The Standard Model	15.1	Einstein's Equations	latex/chapters/chapter15/sec151.tex	494--499	pp. 470--475; boundary pages are partial	Section 15.1, Einstein's Equations; equations (15.1.1)--(15.1.26), including all unnumbered displays.	reference notes 1 and 2; no figures or tables.	source-reviewed and compile-clean.	curvature/sign modernization checks are documented below; no unresolved source readings. MODERNIZATION: R_{\mathrm{source}}(t) -> a(t); H=\dot a/a. Compact partial derivatives replace long coordinate quotients. Curvature-dependent formulas use the binding convention R^\rho{}_{\sigma\mu\nu} =\partial_\mu\Gamma^\rho{}_{\nu\sigma} -\partial_\nu\Gamma^\rho{}_{\mu\sigma}+\cdots, opposite to Weinberg's printed convention. The Friedmann equations themselves are unchanged.
15	Cosmology: The Standard Model	15.2	Density and Pressure of the Present Universe	latex/chapters/chapter15/sec152.tex	499--505	pp. 475--481; boundary pages are partial	Section 15.2, Density and Pressure of the Present Universe; equations (15.2.1)--(15.2.18), including unnumbered estimates.	reference notes 3--14a; no figures or tables.	source-reviewed and compile-clean.	"none. MODERNIZATION: R_{\mathrm{source}}(t) -> a(t), with H_0=(\dot a/a)_0 and q_0=-(a\ddot a/\dot a^2)_0. The source's nonstandard spelling is regularized to ""deceleration."""
15	Cosmology: The Standard Model	15.3	The Matter-Dominated Era	latex/chapters/chapter15/sec153.tex	505--515	pp. 481--491; boundary pages are partial	Section 15.3, The Matter-Dominated Era; equations (15.3.1)--(15.3.37), including all unnumbered displays.	Figure 15.1; reference notes 15--25; no tables.	source-reviewed and compile-clean.	"SOURCE ERRATUM -- the scan's t/3 in (15.3.34) conflicts with the preceding expression, which evaluates to 3t; corrected. MODERNIZATION: R_{\mathrm{source}}(t) -> a(t), with modern H and q notation throughout. The source's nonstandard spelling is regularized to ""deceleration."" Curvature signs do not appear explicitly beyond k here; the Friedmann equations already use the binding convention fixed and audited in Section 15.1."
15	Cosmology: The Standard Model	15.4	Intergalactic Emission and Absorption Processes	latex/chapters/chapter15/sec154.tex	515--532	pp. 491--506; boundary pages are partial	Section 15.4, Intergalactic Emission and Absorption Processes; equations (15.4.1)--(15.4.50), including all unnumbered displays.	Figure 15.2; reference notes 26--50c; no tables.	source-reviewed and compile-clean; visually proofed.	none. MODERNIZATION: R_{\mathrm{source}}(t) -> a(t), with a_0=a(t_0); H=\dot a/a and the existing modern q convention. Long coordinate derivatives are compacted where they occur. The source symbols N, \mathcal N, \Gamma, \Lambda, \Omega, and \Sigma are retained because they distinguish ray density, background spectral density, spontaneous emission, absorption, stimulated emission, and scattering. LITERAL-OPERATOR AUDIT: every leading sign and continuation operator in equations (15.4.1)--(15.4.50) was checked directly against physical PDF pp. 515--532, including the long transfer equations (15.4.9)--(15.4.14).
15	Cosmology: The Standard Model	15.5	The Cosmic Microwave Radiation Background	latex/chapters/chapter15/sec155.tex	532--556	pp. 506--528; boundary pages are partial	Section 15.5, The Cosmic Microwave Radiation Background; equations (15.5.1)--(15.5.42), including all unnumbered displays.	Figures 15.3--15.4; Tables 15.1--15.3; reference notes 51--86 (including lettered supplements).	source-reviewed and compile-clean; visually proofed.	none. MODERNIZATION: source scale factor -> a(t), and source present-epoch scale factor -> a_0, with H=\dot a/a and the existing modern q convention. The source's radiation constant a is written a_{\mathrm{rad}} to avoid collision with the scale factor. The photon four-vector in the Doppler calculation is written time-first for the binding (-+++) metric; all resulting observable formulas are unchanged. LITERAL-OPERATOR AUDIT: every leading sign and continuation operator in equations (15.5.1)--(15.5.42), especially (15.5.3), (15.5.24), and the geodesic formulas (15.5.34)--(15.5.37), was checked against pp. 532--556.
15	Cosmology: The Standard Model	15.6	Thermal History of the Early Universe	latex/chapters/chapter15/sec156.tex	556--573	pp. 528--545; boundary pages are partial	Section 15.6, Thermal History of the Early Universe; equations (15.6.1)--(15.6.70), including all unnumbered displays.	Figure 15.5; Table 15.4; reference notes 87--98 and 173.	source-reviewed and compile-clean; visually proofed.	none. MODERNIZATION: the source cosmological scale factor is written a(t), with a_0=a(t_0), while the black-body radiation constant is a_{\mathrm{rad}}. The standard spelling “deceleration” is used. No signature-dependent four-vector or curvature expression occurs in this section. The source's unrelated beta-decay normalization a is denoted \alpha to avoid a second collision with the scale factor. LITERAL-OPERATOR AUDIT: every leading sign and continuation operator in equations (15.6.1)--(15.6.70), including the entropy, energy-density, and degenerate-neutrino integrals, was checked against physical pp. 556--573.
15	Cosmology: The Standard Model	15.7	Helium Synthesis	latex/chapters/chapter15/sec157.tex	573--589	pp. 545--561; boundary pages are partial	Section 15.7, Helium Synthesis; equations (15.7.1)--(15.7.37), all intervening unnumbered displays, and Tables 15.5--15.7.	Tables 15.5--15.7 with source notes; linked reference markers 52, 93, 99--142; no figures or footnotes.	source-reviewed and compile-clean; visually proofed.	the unit and differential-measure modernizations are documented below; no unresolved source uncertainty remains. MODERNIZATION CHECK: units are set upright and differential measures use \dd. Source-era reaction and isotope notation is otherwise retained. No signature-, coordinate-order-, scale-factor-, action-, or worldline- derivative-dependent expression occurs in this section.
